offenseTeam,3rdDown,3rdDownSuccess,Drive,FirstDown,Kicker_Pts,TwoPointConv,Week,gameid,3rdDown_rolling5,3rdDownSuccess_rolling5,CompletePass_rolling5,Drive_rolling5,ExPointBad_rolling5,ExPointGood_rolling5,FG_30_rolling5,FG_40_rolling5,FG_50_rolling5,FG_range_rolling5,FieldGoalBad_rolling5,FieldGoalGood_rolling5,FirstDown_rolling5,IncompletePass_rolling5,Kicker_Pts_rolling5,PointsScored_rolling5,Punt_rolling5,QB Kneel_rolling5,RedZone_rolling5,Touchdown_rolling5,TwoPointConv_rolling5,TwoPointGood_rolling5,Yards.Gained_rolling5,FG_range_per_drive,RZ_per_drive,DEF_3rdDownSuccess,DEF_FirstDown,DEF_Yards.Gained,DEF_3rdDown_rolling5,DEF_3rdDownSuccess_rolling5,DEF_CompletePass_rolling5,DEF_Drive_rolling5,DEF_ExPointGood_rolling5,DEF_FG_range_rolling5,DEF_FieldGoalGood_rolling5,DEF_FirstDown_rolling5,DEF_IncompletePass_rolling5,DEF_Kicker_Pts_rolling5,DEF_PointsScored_rolling5,DEF_RedZone_rolling5,DEF_Touchdown_rolling5,DEF_Yards.Gained_rolling5,DEF_FG_range_per_drive,DEF_RZ_per_drive,offenseTeam,defenseTeam,Season,punts_per_drive,DEF_punts_per_drive,date,mergeCode,mergeCode2,3rdDown_rate,Completion_pct,DEF_Completion_pct,TwoPoint_conv_rate
PIT-2009102504,2,0,21,18.0,7,0,6,2009102504,2,0,0,20,0,3,1,0,0,8,0,1,21,10,8,28,3,1,3,3,0,0,526,0.4,0.15,0.0,18.0,379.0,2.0,0.0,0.0,22.0,1.0,9.0,1.0,22.0,11.0,6.0,19.0,5.0,2.0,516.0,0.4090909090909091,0.22727272727272727,PIT,MIN,2009,0.15,0.22727272727272727,10/25,2009-10/25-PIT,2009-6-PIT,0.0,0.0,0.0,
SD-2009102503,5,1,27,19.0,15,0,6,2009102503,2,0,0,21,0,2,2,0,0,8,0,2,21,16,13,24,3,0,3,2,0,0,500,0.38095238095238093,0.14285714285714285,1.0,19.0,462.0,3.0,0.0,0.0,25.0,2.0,9.0,2.0,21.0,13.0,11.0,24.0,4.0,2.0,496.0,0.36,0.16,SD,KC,2009,0.14285714285714285,0.16,10/25,2009-10/25-SD,2009-6-SD,0.0,0.0,0.0,
SF-2009102502,2,0,21,25.0,3,0,6,2009102502,1,0,0,24,0,2,0,0,0,10,0,1,20,13,6,18,6,0,5,2,0,0,424,0.4166666666666667,0.20833333333333334,0.0,25.0,585.0,2.0,0.0,0.0,24.0,2.0,11.0,0.0,22.0,14.0,6.0,20.0,5.0,2.0,482.0,0.4583333333333333,0.20833333333333334,SF,HOU,2009,0.25,0.25,10/25,2009-10/25-SF,2009-6-SF,0.0,0.0,0.0,
STL-2009102505,1,1,21,21.0,7,0,6,2009102505,2,0,0,21,0,0,0,0,0,10,0,1,23,12,7,14,5,0,5,1,0,0,479,0.47619047619047616,0.23809523809523808,1.0,21.0,501.0,2.0,0.0,0.0,21.0,1.0,9.0,2.0,24.0,15.0,9.0,14.0,4.0,1.0,442.0,0.42857142857142855,0.19047619047619047,STL,IND,2009,0.23809523809523808,0.19047619047619047,10/25,2009-10/25-STL,2009-6-STL,0.0,0.0,0.0,
TB-2009102506,3,2,26,19.0,1,0,6,2009102506,1,1,0,22,0,1,0,0,0,10,0,0,19,15,4,12,5,0,5,1,0,0,359,0.45454545454545453,0.22727272727272727,2.0,19.0,344.0,2.0,0.0,0.0,22.0,1.0,10.0,0.0,22.0,15.0,3.0,12.0,5.0,1.0,428.0,0.45454545454545453,0.22727272727272727,TB,NE,2009,0.22727272727272727,0.22727272727272727,10/25,2009-10/25-TB,2009-6-TB,1.0,0.0,0.0,
WAS-2009102600,3,1,25,26.0,6,0,6,2009102600,1,0,0,23,0,1,0,0,0,9,0,1,22,12,4,15,5,0,4,1,0,0,403,0.391304347826087,0.17391304347826086,1.0,26.0,511.0,2.0,0.0,0.0,24.0,2.0,10.0,1.0,23.0,13.0,5.0,22.0,6.0,2.0,452.0,0.4166666666666667,0.25,WAS,PHI,2009,0.21739130434782608,0.25,10/26,2009-10/26-WAS,2009-6-WAS,0.0,0.0,0.0,
ARI-2009110110,2,0,25,30.0,3,0,7,2009110110,2,0,0,26,0,2,0,0,0,9,0,0,25,16,5,21,6,0,5,2,0,0,469,0.34615384615384615,0.19230769230769232,0.0,30.0,545.0,0.0,0.0,0.0,23.0,2.0,9.0,1.0,22.0,11.0,6.0,19.0,5.0,2.0,396.0,0.391304347826087,0.21739130434782608,ARI,CAR,2009,0.23076923076923078,0.21739130434782608,11/01,2009-11/01-ARI,2009-7-ARI,0.0,0.0,0.0,
ATL-2009110200,2,0,24,25.0,15,0,7,2009110200,2,0,0,22,0,3,0,0,0,9,0,0,22,15,7,29,4,0,4,4,0,0,494,0.4090909090909091,0.18181818181818182,0.0,25.0,614.0,2.0,0.0,0.0,25.0,2.0,10.0,1.0,22.0,18.0,8.0,26.0,5.0,3.0,478.0,0.4,0.2,ATL,NO,2009,0.18181818181818182,0.2,11/02,2009-11/02-ATL,2009-7-ATL,0.0,0.0,0.0,
BAL-2009110100,2,0,21,19.0,13,0,7,2009110100,1,0,0,21,0,2,1,0,0,8,0,1,23,11,7,25,4,0,4,3,0,0,505,0.38095238095238093,0.19047619047619047,0.0,19.0,418.0,2.0,0.0,0.0,21.0,1.0,9.0,1.0,21.0,12.0,10.0,16.0,4.0,1.0,415.0,0.42857142857142855,0.19047619047619047,BAL,DEN,2009,0.19047619047619047,0.19047619047619047,11/01,2009-11/01-BAL,2009-7-BAL,0.0,0.0,0.0,
BUF-2009110101,0,0,22,14.0,4,0,7,2009110101,1,0,0,25,0,1,1,0,0,9,0,1,20,13,7,13,6,0,4,1,0,0,379,0.36,0.16,0.0,14.0,492.0,1.0,0.0,0.0,24.0,1.0,10.0,0.0,20.0,13.0,5.0,15.0,5.0,1.0,479.0,0.4166666666666667,0.20833333333333334,BUF,HOU,2009,0.24,0.25,11/01,2009-11/01-BUF,2009-7-BUF,0.0,0.0,0.0,
CAR-2009110110,2,0,26,16.0,9,0,7,2009110110,2,0,0,23,0,2,0,0,0,10,0,0,21,10,6,19,5,0,5,2,0,0,433,0.43478260869565216,0.21739130434782608,0.0,16.0,448.0,2.0,0.0,0.0,25.0,2.0,11.0,1.0,21.0,15.0,6.0,21.0,7.0,2.0,438.0,0.44,0.28,CAR,ARI,2009,0.21739130434782608,0.24,11/01,2009-11/01-CAR,2009-7-CAR,0.0,0.0,0.0,
CHI-2009110102,3,2,27,21.0,11,0,7,2009110102,3,0,0,23,0,2,1,0,0,8,0,1,19,12,8,24,4,0,1,2,0,0,435,0.34782608695652173,0.043478260869565216,2.0,21.0,388.0,2.0,0.0,0.0,25.0,2.0,10.0,1.0,26.0,14.0,8.0,21.0,6.0,2.0,496.0,0.4,0.24,CHI,CLE,2009,0.17391304347826086,0.2,11/01,2009-11/01-CHI,2009-7-CHI,0.0,0.0,0.0,
CLE-2009110102,3,2,26,17.0,-1,0,7,2009110102,2,1,0,24,0,0,1,0,0,9,0,1,20,17,3,13,6,0,4,1,0,0,367,0.375,0.16666666666666666,2.0,17.0,469.0,3.0,1.0,0.0,23.0,2.0,9.0,1.0,23.0,13.0,7.0,24.0,5.0,3.0,500.0,0.391304347826087,0.21739130434782608,CLE,CHI,2009,0.25,0.13043478260869565,11/01,2009-11/01-CLE,2009-7-CLE,0.5,0.0,0.0,
DAL-2009110103,4,0,23,27.0,11,0,7,2009110103,2,0,0,23,0,2,1,1,0,9,0,1,24,14,10,23,4,1,5,2,0,0,492,0.391304347826087,0.21739130434782608,0.0,27.0,422.0,2.0,0.0,0.0,22.0,2.0,9.0,1.0,23.0,11.0,7.0,24.0,4.0,3.0,431.0,0.4090909090909091,0.18181818181818182,DAL,SEA,2009,0.17391304347826086,0.18181818181818182,11/01,2009-11/01-DAL,2009-7-DAL,0.0,0.0,0.0,
DEN-2009110100,0,0,22,23.0,1,0,7,2009110100,1,0,0,22,0,2,1,0,0,9,0,1,23,12,8,20,5,0,4,2,0,0,447,0.4090909090909091,0.18181818181818182,0.0,23.0,347.0,1.0,0.0,0.0,22.0,1.0,10.0,1.0,23.0,12.0,7.0,19.0,5.0,2.0,434.0,0.45454545454545453,0.22727272727272727,DEN,BAL,2009,0.22727272727272727,0.22727272727272727,11/01,2009-11/01-DEN,2009-7-DEN,0.0,0.0,0.0,
DET-2009110104,2,0,20,22.0,0,1,7,2009110104,2,0,0,21,0,1,0,0,0,10,0,1,25,17,5,13,5,0,6,1,0,0,440,0.47619047619047616,0.2857142857142857,0.0,22.0,404.0,3.0,0.0,0.0,21.0,2.0,9.0,0.0,23.0,13.0,5.0,24.0,4.0,3.0,437.0,0.42857142857142855,0.19047619047619047,DET,STL,2009,0.23809523809523808,0.19047619047619047,11/01,2009-11/01-DET,2009-7-DET,0.0,0.0,0.0,
GB-2009110105,3,0,27,25.0,12,1,7,2009110105,3,1,0,22,0,2,1,0,0,8,0,2,23,10,11,27,3,1,5,3,0,0,552,0.36363636363636365,0.22727272727272727,0.0,25.0,569.0,2.0,0.0,0.0,22.0,1.0,9.0,1.0,23.0,13.0,7.0,21.0,5.0,2.0,550.0,0.4090909090909091,0.22727272727272727,GB,MIN,2009,0.13636363636363635,0.18181818181818182,11/01,2009-11/01-GB,2009-7-GB,0.3333333333333333,0.0,0.0,
HOU-2009110101,4,1,23,25.0,12,1,7,2009110101,3,0,0,25,0,3,1,0,0,10,0,1,26,12,9,27,4,2,3,3,0,0,493,0.4,0.12,1.0,25.0,501.0,1.0,0.0,0.0,24.0,1.0,10.0,1.0,25.0,14.0,8.0,17.0,5.0,1.0,442.0,0.4166666666666667,0.20833333333333334,HOU,BUF,2009,0.16,0.20833333333333334,11/01,2009-11/01-HOU,2009-7-HOU,0.0,0.0,0.0,
IND-2009110106,1,0,26,24.0,13,1,7,2009110106,2,0,0,22,0,3,1,0,0,9,0,1,24,12,8,29,4,0,5,3,0,0,499,0.4090909090909091,0.22727272727272727,0.0,24.0,518.0,3.0,0.0,0.0,24.0,2.0,10.0,1.0,23.0,14.0,11.0,26.0,5.0,3.0,483.0,0.4166666666666667,0.20833333333333334,IND,SF,2009,0.18181818181818182,0.25,11/01,2009-11/01-IND,2009-7-IND,0.0,0.0,0.0,
JAC-2009110109,1,1,22,16.0,0,0,7,2009110109,2,1,0,22,0,2,0,0,0,10,0,1,23,14,8,24,5,1,5,3,0,0,512,0.45454545454545453,0.22727272727272727,1.0,16.0,526.0,2.0,0.0,0.0,25.0,4.0,8.0,1.0,23.0,11.0,9.0,32.0,3.0,4.0,510.0,0.32,0.12,JAC,TEN,2009,0.22727272727272727,0.16,11/01,2009-11/01-JAC,2009-7-JAC,0.5,0.0,0.0,
MIA-2009110107,2,0,27,14.0,6,1,7,2009110107,2,0,0,23,0,3,1,0,0,9,0,1,21,12,7,30,5,0,5,3,0,0,431,0.391304347826087,0.21739130434782608,0.0,14.0,270.0,2.0,0.0,0.0,24.0,1.0,9.0,1.0,22.0,12.0,6.0,16.0,5.0,1.0,403.0,0.375,0.20833333333333334,MIA,NYJ,2009,0.21739130434782608,0.20833333333333334,11/01,2009-11/01-MIA,2009-7-MIA,0.0,0.0,0.0,
MIN-2009110105,4,3,26,17.0,9,0,7,2009110105,3,0,0,22,0,3,0,0,0,9,0,1,21,11,8,33,4,0,3,4,0,0,497,0.4090909090909091,0.13636363636363635,3.0,17.0,548.0,3.0,1.0,0.0,22.0,2.0,8.0,0.0,20.0,14.0,5.0,18.0,3.0,2.0,406.0,0.36363636363636365,0.13636363636363635,MIN,GB,2009,0.18181818181818182,0.18181818181818182,11/01,2009-11/01-MIN,2009-7-MIN,0.0,0.0,0.0,
NO-2009110200,5,2,25,25.0,7,0,7,2009110200,3,0,0,25,0,3,1,0,0,10,0,1,26,11,7,33,3,1,5,4,0,0,525,0.4,0.2,2.0,25.0,546.0,3.0,1.0,0.0,22.0,2.0,9.0,1.0,22.0,16.0,8.0,23.0,4.0,2.0,479.0,0.4090909090909091,0.18181818181818182,NO,ATL,2009,0.12,0.13636363636363635,11/02,2009-11/02-NO,2009-7-NO,0.0,0.0,0.0,
NYG-2009110111,3,0,24,25.0,9,0,7,2009110111,3,1,0,25,0,3,1,0,0,9,0,1,23,16,10,26,4,0,4,3,0,0,507,0.36,0.16,0.0,25.0,567.0,2.0,0.0,0.0,24.0,1.0,11.0,0.0,23.0,15.0,5.0,17.0,5.0,2.0,462.0,0.4583333333333333,0.20833333333333334,NYG,PHI,2009,0.16,0.25,11/01,2009-11/01-NYG,2009-7-NYG,0.3333333333333333,0.0,0.0,
NYJ-2009110107,1,0,26,27.0,9,3,7,2009110107,2,0,0,23,0,2,1,0,0,10,0,1,23,15,9,27,5,0,5,3,0,0,441,0.43478260869565216,0.21739130434782608,0.0,27.0,514.0,2.0,0.0,0.0,23.0,1.0,9.0,2.0,22.0,15.0,10.0,27.0,4.0,3.0,480.0,0.391304347826087,0.17391304347826086,NYJ,MIA,2009,0.21739130434782608,0.17391304347826086,11/01,2009-11/01-NYJ,2009-7-NYJ,0.0,0.0,0.0,
OAK-2009110108,2,0,19,16.0,12,0,7,2009110108,2,0,0,24,0,0,0,0,0,11,0,1,20,12,5,8,6,0,6,0,0,0,346,0.4583333333333333,0.25,0.0,16.0,342.0,1.0,0.0,0.0,21.0,2.0,8.0,1.0,20.0,12.0,9.0,23.0,2.0,2.0,464.0,0.38095238095238093,0.09523809523809523,OAK,SD,2009,0.25,0.19047619047619047,11/01,2009-11/01-OAK,2009-7-OAK,0.0,0.0,0.0,
PHI-2009110111,2,1,23,16.0,9,0,7,2009110111,1,0,0,24,0,3,0,1,0,8,0,2,19,12,11,27,5,1,4,3,0,0,423,0.3333333333333333,0.16666666666666666,1.0,16.0,520.0,2.0,0.0,0.0,25.0,3.0,9.0,0.0,20.0,11.0,5.0,28.0,4.0,3.0,450.0,0.36,0.16,PHI,NYG,2009,0.20833333333333334,0.2,11/01,2009-11/01-PHI,2009-7-PHI,0.0,0.0,0.0,
SD-2009110108,3,0,20,23.0,6,0,7,2009110108,2,0,0,20,0,2,1,0,0,8,0,2,21,14,11,23,3,1,3,2,0,0,460,0.4,0.15,0.0,23.0,422.0,3.0,0.0,0.0,24.0,3.0,9.0,2.0,23.0,12.0,11.0,28.0,4.0,3.0,437.0,0.375,0.16666666666666666,SD,OAK,2009,0.15,0.16666666666666666,11/01,2009-11/01-SD,2009-7-SD,0.0,0.0,0.0,
SEA-2009110103,2,1,24,23.0,6,0,7,2009110103,2,1,0,23,0,1,1,1,0,9,0,1,23,16,9,19,4,0,6,2,0,0,417,0.391304347826087,0.2608695652173913,1.0,23.0,494.0,1.0,0.0,0.0,22.0,2.0,10.0,0.0,24.0,15.0,5.0,21.0,7.0,2.0,458.0,0.45454545454545453,0.3181818181818182,SEA,DAL,2009,0.17391304347826086,0.2727272727272727,11/01,2009-11/01-SEA,2009-7-SEA,0.5,0.0,0.0,
SF-2009110106,1,0,25,24.0,2,0,7,2009110106,1,0,0,24,0,2,0,0,0,10,0,0,21,14,4,16,6,0,5,2,0,0,419,0.4166666666666667,0.20833333333333334,0.0,24.0,440.0,2.0,0.0,0.0,22.0,1.0,10.0,1.0,23.0,16.0,6.0,12.0,4.0,1.0,428.0,0.45454545454545453,0.18181818181818182,SF,IND,2009,0.25,0.22727272727272727,11/01,2009-11/01-SF,2009-7-SF,0.0,0.0,0.0,
