offenseTeam,3rdDown,3rdDownSuccess,CompletePass,Drive,ExPointBad,ExPointGood,FG_30,FG_40,FG_50,FG_range,FieldGoalBad,FieldGoalGood,FirstDown,IncompletePass,Kicker_Pts,PointsScored,Punt,QB Kneel,RedZone,Touchdown,TwoPointConv,TwoPointGood,Week,Yards.Gained,gameid,3rdDown_rolling3,3rdDownSuccess_rolling3,CompletePass_rolling3,Drive_rolling3,ExPointBad_rolling3,ExPointGood_rolling3,FG_30_rolling3,FG_40_rolling3,FG_50_rolling3,FG_range_rolling3,FieldGoalBad_rolling3,FieldGoalGood_rolling3,FirstDown_rolling3,IncompletePass_rolling3,Kicker_Pts_rolling3,PointsScored_rolling3,Punt_rolling3,QB Kneel_rolling3,RedZone_rolling3,Touchdown_rolling3,TwoPointConv_rolling3,TwoPointGood_rolling3,Week_rolling3,Yards.Gained_rolling3,gameid_rolling3,FG_range_per_drive,RZ_per_drive,DEF_3rdDownSuccess,DEF_FirstDown,DEF_Yards.Gained,DEF_3rdDown_rolling3,DEF_3rdDownSuccess_rolling3,DEF_CompletePass_rolling3,DEF_Drive_rolling3,DEF_ExPointGood_rolling3,DEF_FG_range_rolling3,DEF_FieldGoalGood_rolling3,DEF_FirstDown_rolling3,DEF_IncompletePass_rolling3,DEF_Kicker_Pts_rolling3,DEF_PointsScored_rolling3,DEF_RedZone_rolling3,DEF_Touchdown_rolling3,DEF_Yards.Gained_rolling3,DEF_FG_range_per_drive,DEF_RZ_per_drive,offenseTeam,defenseTeam,Season,punts_per_drive,DEF_punts_per_drive,date,mergeCode,mergeCode2,3rdDown_rate,Completion_pct,DEF_Completion_pct,TwoPoint_conv_rate
STL-2009102505,1,1,0,21,0,0,1,1,0,10,0,2,21.0,13,7,12,5,0,3,1,0,0,6,501,2009102505,1,0,0,20,0,0,1,0,0,9,0,1,23,12,6,13,4,0,4,1,0,0,5,482,2009101804,0.45,0.2,1.0,21.0,501.0,2.0,1.0,0.0,21.0,0.0,10.0,2.0,22.0,14.0,8.0,12.0,4.0,1.0,419.0,0.47619047619047616,0.19047619047619047,STL,IND,2009,0.2,0.19047619047619047,10/25,2009-10/25-STL,2009-6-STL,0.0,0.0,0.0,
TB-2009102506,3,2,0,26,0,1,0,0,0,12,0,0,19.0,20,1,13,9,0,8,2,0,0,6,344,2009102506,2,1,0,23,0,1,0,0,0,11,0,0,20,17,2,15,5,0,6,2,0,0,5,425,2009101806,0.4782608695652174,0.2608695652173913,2.0,19.0,344.0,2.0,0.0,0.0,25.0,1.0,12.0,0.0,22.0,16.0,4.0,11.0,6.0,1.0,406.0,0.48,0.24,TB,NE,2009,0.21739130434782608,0.24,10/25,2009-10/25-TB,2009-6-TB,0.5,0.0,0.0,
WAS-2009102600,3,1,0,25,0,2,0,1,0,10,0,1,26.0,16,6,23,7,0,6,3,0,0,6,511,2009102600,1,0,0,23,0,1,0,0,0,9,0,1,20,12,6,15,6,0,5,1,0,0,5,388,2009101836,0.391304347826087,0.21739130434782608,1.0,26.0,511.0,2.0,1.0,0.0,25.0,1.0,11.0,1.0,25.0,18.0,5.0,18.0,6.0,2.0,468.0,0.44,0.24,WAS,PHI,2009,0.2608695652173913,0.24,10/26,2009-10/26-WAS,2009-6-WAS,0.0,0.0,0.0,
ARI-2009110110,2,0,0,25,0,3,0,0,0,12,0,0,30.0,19,3,27,4,0,8,4,0,0,7,545,2009110110,2,0,0,26,0,3,1,0,0,9,0,1,25,15,6,26,6,1,6,3,0,0,6,452,2009104810,0.34615384615384615,0.23076923076923078,0.0,30.0,545.0,1.0,0.0,0.0,24.0,2.0,10.0,0.0,21.0,12.0,5.0,20.0,5.0,2.0,411.0,0.4166666666666667,0.20833333333333334,ARI,CAR,2009,0.23076923076923078,0.20833333333333334,11/01,2009-11/01-ARI,2009-7-ARI,0.0,0.0,0.0,
ATL-2009110200,2,0,0,24,0,2,2,1,1,10,2,2,25.0,23,15,32,3,0,1,4,0,0,7,614,2009110200,2,0,0,22,0,2,0,0,0,9,0,0,23,18,7,28,4,0,5,4,0,0,6,507,2009104840,0.4090909090909091,0.22727272727272727,0.0,25.0,614.0,2.0,0.0,0.0,26.0,3.0,10.0,2.0,22.0,20.0,11.0,35.0,3.0,4.0,571.0,0.38461538461538464,0.11538461538461539,ATL,NO,2009,0.18181818181818182,0.15384615384615385,11/02,2009-11/02-ATL,2009-7-ATL,0.0,0.0,0.0,
BAL-2009110100,2,0,0,21,0,3,2,1,0,7,0,3,19.0,5,13,30,4,1,3,3,0,0,7,418,2009110100,1,0,0,22,0,2,1,0,0,9,0,1,20,9,8,24,5,0,4,3,0,0,5,483,2009104334,0.4090909090909091,0.18181818181818182,0.0,19.0,418.0,1.0,0.0,0.0,21.0,2.0,9.0,2.0,21.0,11.0,14.0,23.0,3.0,2.0,460.0,0.42857142857142855,0.14285714285714285,BAL,DEN,2009,0.22727272727272727,0.19047619047619047,11/01,2009-11/01-BAL,2009-7-BAL,0.0,0.0,0.0,
BUF-2009110101,0,0,0,22,0,1,1,0,0,8,0,1,14.0,8,4,10,6,0,3,1,0,0,7,492,2009110101,1,0,0,26,0,1,1,0,0,9,0,2,18,12,8,15,7,1,3,1,0,0,6,397,2009104806,0.34615384615384615,0.11538461538461539,0.0,14.0,492.0,1.0,0.0,0.0,22.0,2.0,10.0,0.0,19.0,11.0,6.0,16.0,5.0,2.0,508.0,0.45454545454545453,0.22727272727272727,BUF,HOU,2009,0.2692307692307692,0.2727272727272727,11/01,2009-11/01-BUF,2009-7-BUF,0.0,0.0,0.0,
CAR-2009110110,2,0,0,26,0,3,2,0,0,10,0,2,16.0,8,9,27,6,1,3,3,0,0,7,448,2009110110,2,0,0,24,0,2,1,0,0,10,0,0,22,11,8,22,5,0,5,3,0,0,6,444,2009104807,0.4166666666666667,0.20833333333333334,0.0,16.0,448.0,2.0,1.0,0.0,26.0,1.0,11.0,1.0,18.0,16.0,5.0,15.0,7.0,1.0,362.0,0.4230769230769231,0.2692307692307692,CAR,ARI,2009,0.20833333333333334,0.2692307692307692,11/01,2009-11/01-CAR,2009-7-CAR,0.0,0.0,0.0,
CHI-2009110102,3,2,0,27,0,2,3,0,0,9,0,3,21.0,14,11,23,5,2,2,2,0,0,7,388,2009110102,3,0,0,22,0,1,1,0,0,9,0,1,22,15,5,15,4,0,2,1,0,0,6,434,2009104804,0.4090909090909091,0.09090909090909091,2.0,21.0,388.0,3.0,1.0,0.0,23.0,3.0,8.0,2.0,24.0,11.0,10.0,29.0,4.0,3.0,520.0,0.34782608695652173,0.17391304347826086,CHI,CLE,2009,0.18181818181818182,0.13043478260869565,11/01,2009-11/01-CHI,2009-7-CHI,0.0,0.0,0.0,
CLE-2009110102,3,2,0,26,1,0,0,0,0,12,1,0,17.0,13,-1,12,6,0,7,2,0,0,7,469,2009110102,3,1,0,22,0,0,0,0,0,8,0,0,18,16,1,9,5,0,4,1,0,0,6,347,2009104802,0.36363636363636365,0.18181818181818182,2.0,17.0,469.0,3.0,1.0,0.0,22.0,3.0,9.0,0.0,20.0,10.0,3.0,26.0,4.0,3.0,468.0,0.4090909090909091,0.18181818181818182,CLE,CHI,2009,0.22727272727272727,0.18181818181818182,11/01,2009-11/01-CLE,2009-7-CLE,0.3333333333333333,0.0,0.0,
